Location ID,Depth Top,Depth Base,Geology Code
84-10,0.0,7.0,FILL
,7.0,12.0,MARINE SAND DEPOSITS
,12.0,29.0,MARINE CLAY DEPOSITS
,29.0,58.0,GLACIAL TILL
,58.0,64.0,WEATHERED BEDROCK
84-11,0.0,1.5,FILL
,1.5,17.0,MARINE CLAY DEPOSITS
,17.0,24.0,GLACIOFLUVIAL (SAND) DEPOSITS
,24.0,32.0,GLACIAL TILL
,32.0,38.0,BEDROCK
84-12,0.0,4.0,FILL
,4.0,13.5,ORGANIC DEPOSITS
,13.5,15.8,MARINE SAND DEPOSITS
,15.8,21.5,MARINE CLAY DEPOSITS
,21.5,30.0,GLACIOFLUVIAL (SAND) DEPOSITS
,30.0,35.0,WEATHERED BEDROCK
84-13,0.0,24.0,FILL
,24.0,29.0,MARINE CLAY DEPOSITS
,29.0,35.0,GLACIAL TILL
,35.0,40.5,WEATHERED BEDROCK
84-14,0.0,14.0,FILL
,14.0,20.5,MARINE CLAY DEPOSITS
,20.5,23.0,GLACIOFLUVIAL (SAND) DEPOSITS
,23.0,29.0,GLACIAL TILL
,29.0,34.0,WEATHERED BEDROCK
Boring #1,0.0,12.5,FILL
,12.5,15.5,ORGANIC DEPOSITS
,15.5,18.0,MARINE CLAY DEPOSITS
,18.0,30.0,GLACIOFLUVIAL (SAND) DEPOSITS
Boring #2,0.0,11.0,FILL
,11.0,13.5,ORGANIC DEPOSITS
,13.5,24.0,MARINE CLAY DEPOSITS
,24.0,30.0,GLACIOFLUVIAL (SAND) DEPOSITS
Boring #3,0.0,9.0,FILL
,9.0,37.0,MARINE SAND DEPOSITS
,37.0,48.0,MARINE CLAY DEPOSITS
,48.0,56.5,GLACIAL TILL
Boring #4,0.0,9.5,FILL
,9.5,26.0,MARINE CLAY DEPOSITS
,26.0,31.0,GLACIOFLUVIAL (SAND) DEPOSITS
,31.0,61.5,GLACIAL TILL
Boring #5,0.0,9.0,FILL
,9.0,57.0,MARINE CLAY DEPOSITS
Boring #6,0.0,7.5,FILL
,7.5,11.0,ORGANIC DEPOSITS
,11.0,13.5,MARINE SAND DEPOSITS
,13.5,53.0,GLACIAL TILL
20,0.0,8.0,FILL
,8.0,10.0,ORGANIC DEPOSITS
,10.0,60.0,MARINE CLAY DEPOSITS
,60.0,86.5,GLACIAL TILL
21,0.0,10.0,FILL
,10.0,67.0,MARINE CLAY DEPOSITS
,67.0,104.0,GLACIAL TILL
,104.0,114.0,WEATHERED BEDROCK
22,0.0,9.0,FILL
,9.0,10.0,MARINE SAND DEPOSITS
,10.0,60.0,MARINE CLAY DEPOSITS
,60.0,91.5,GLACIAL TILL
23,0.0,25.0,FILL
,25.0,10.0,MARINE SAND DEPOSITS
,10.0,59.0,MARINE CLAY DEPOSITS
,59.0,86.8,GLACIAL TILL
