Location ID,Depth Top,Depth Base,Geology Code,Location Code
TB-5,65.7,66.8,WEATHERED BEDROCK,2001 0330 10915 BCH Clinical Expansion.pdf
TB-5,66.8,67.8,BEDROCK,2001 0330 10915 BCH Clinical Expansion.pdf
TB-6,0.0,1.3,FILL,2001 0330 10915 BCH Clinical Expansion.pdf
TB-6,1.3,62.0, MARINE CLAY DEPOSITS,2001 0330 10915 BCH Clinical Expansion.pdf
TB-6,62.0,71.5,GLACIOFLUVIAL (SAND) DEPOSITS,2001 0330 10915 BCH Clinical Expansion.pdf
TB-6,71.5,84,WEATHERED BEDROCK,2001 0330 10915 BCH Clinical Expansion.pdf
TB-7 OW,0.0,1.0,FILL,2001 0330 10915 BCH Clinical Expansion.pdf
TB-7 OW,1.0,59.5, MARINE CLAY DEPOSITS,2001 0330 10915 BCH Clinical Expansion.pdf
TB-7 OW,59.5,67.6,GLACIAL TILL,2001 0330 10915 BCH Clinical Expansion.pdf
TB-7 OW,67.6,68.6,BEDROCK,2001 0330 10915 BCH Clinical Expansion.pdf
BT-1,0.0,9.0,FILL,2001 0330 10915 BCH Clinical Expansion.pdf
BT-1,9.0,28.5, MARINE CLAY DEPOSITS,2001 0330 10915 BCH Clinical Expansion.pdf
BT-1,28.5,41,GLACIOFLUVIAL (SAND) DEPOSITS,2001 0330 10915 BCH Clinical Expansion.pdf
BT-2,0.0,6.5,FILL,2001 0330 10915 BCH Clinical Expansion.pdf
